County,WeekStartDate,ProbableCases,ConfirmedCases,TotalCases,Age 0-19,Age 20-34,Age 35-49,Age 50-64,Age 65-79,Age 80+,UnknownAge,dtm_updated
Adams County,3/15/20,0,3,3,0,0,2,1,0,0,0,2021/04/12 14:53:23
Adams County,3/22/20,0,13,13,0,2,5,1,5,0,0,2021/04/12 14:53:23
Adams County,3/29/20,0,17,17,2,5,5,3,2,0,0,2021/04/12 14:53:23
Adams County,4/5/20,0,8,8,1,2,2,2,1,0,0,2021/04/12 14:53:23
Adams County,4/12/20,0,2,2,0,1,0,1,0,0,0,2021/04/12 14:53:23
Adams County,4/19/20,0,4,4,0,4,0,0,0,0,0,2021/04/12 14:53:23
Adams County,4/26/20,0,2,2,0,1,1,0,0,0,0,2021/04/12 14:53:23
Adams County,5/3/20,0,1,1,1,0,0,0,0,0,0,2021/04/12 14:53:23
Adams County,5/10/20,0,1,1,0,0,0,1,0,0,0,2021/04/12 14:53:23
Adams County,5/17/20,0,6,6,0,1,4,1,0,0,0,2021/04/12 14:53:23
Adams County,5/24/20,0,17,17,2,9,0,5,1,0,0,2021/04/12 14:53:23
Adams County,5/31/20,0,14,14,5,4,5,0,0,0,0,2021/04/12 14:53:23
Adams County,6/7/20,0,12,12,1,2,2,5,1,0,1,2021/04/12 14:53:23
Adams County,6/14/20,0,13,13,1,4,2,5,1,0,0,2021/04/12 14:53:23
Adams County,6/21/20,0,29,29,0,13,5,8,3,0,0,2021/04/12 14:53:23
Adams County,6/28/20,0,54,54,14,9,9,18,3,1,0,2021/04/12 14:53:23
Adams County,7/5/20,0,58,58,17,22,9,7,1,2,0,2021/04/12 14:53:23
Adams County,7/12/20,0,66,66,14,18,17,11,4,2,0,2021/04/12 14:53:23
Adams County,7/19/20,0,52,52,13,10,8,6,5,10,0,2021/04/12 14:53:23
Adams County,7/26/20,0,34,34,6,7,8,9,1,3,0,2021/04/12 14:53:23
Adams County,8/2/20,0,58,58,6,19,19,10,3,1,0,2021/04/12 14:53:23
Adams County,8/9/20,0,53,53,13,11,12,8,7,2,0,2021/04/12 14:53:23
Adams County,8/16/20,0,60,60,14,17,15,8,5,0,1,2021/04/12 14:53:23
Adams County,8/23/20,0,64,64,9,23,12,14,5,1,0,2021/04/12 14:53:23
Adams County,8/30/20,0,92,92,16,23,18,23,10,2,0,2021/04/12 14:53:23
Adams County,9/6/20,0,49,49,6,17,16,7,1,2,0,2021/04/12 14:53:23
Adams County,9/13/20,0,44,44,10,10,9,11,2,2,0,2021/04/12 14:53:23
Adams County,9/20/20,0,40,40,1,17,10,11,1,0,0,2021/04/12 14:53:23
Adams County,9/27/20,0,16,16,4,3,3,2,4,0,0,2021/04/12 14:53:23
Adams County,10/4/20,0,20,20,1,7,3,1,5,3,0,2021/04/12 14:53:23
Adams County,10/11/20,0,17,17,3,3,4,3,3,1,0,2021/04/12 14:53:23
Adams County,10/18/20,0,11,11,4,6,1,0,0,0,0,2021/04/12 14:53:23
Adams County,10/25/20,0,36,36,10,11,9,6,0,0,0,2021/04/12 14:53:23
Adams County,11/1/20,2,82,84,15,15,21,23,9,1,0,2021/04/12 14:53:23
Adams County,11/8/20,3,145,148,31,43,33,26,11,4,0,2021/04/12 14:53:23
Adams County,11/15/20,11,135,146,23,45,43,20,15,0,0,2021/04/12 14:53:23
Adams County,11/22/20,18,49,67,9,27,20,11,0,0,0,2021/04/12 14:53:23
Adams County,11/29/20,16,81,97,18,31,30,14,3,1,0,2021/04/12 14:53:23
Adams County,12/6/20,25,52,77,20,20,23,9,4,0,1,2021/04/12 14:53:23
Adams County,12/13/20,10,47,57,11,13,16,7,9,1,0,2021/04/12 14:53:23
Adams County,12/20/20,9,18,27,10,5,0,5,6,1,0,2021/04/12 14:53:23
Adams County,12/27/20,15,29,44,7,15,15,4,3,0,0,2021/04/12 14:53:23
Adams County,1/3/21,3,39,42,12,9,11,3,6,1,0,2021/04/12 14:53:23
Adams County,1/10/21,7,22,29,5,10,7,4,3,0,0,2021/04/12 14:53:23
Adams County,1/17/21,4,28,32,3,12,7,7,3,0,0,2021/04/12 14:53:23
Adams County,1/24/21,15,36,51,15,9,7,13,5,2,0,2021/04/12 14:53:23
Adams County,1/31/21,5,34,39,7,11,9,6,5,1,0,2021/04/12 14:53:23
Adams County,2/7/21,3,33,36,13,10,7,6,0,0,0,2021/04/12 14:53:23
Adams County,2/14/21,2,6,8,2,1,2,3,0,0,0,2021/04/12 14:53:23
Adams County,2/21/21,2,5,7,1,2,3,0,1,0,0,2021/04/12 14:53:23
Adams County,2/28/21,1,7,8,1,2,3,1,1,0,0,2021/04/12 14:53:23
Adams County,3/7/21,0,9,9,3,0,3,0,3,0,0,2021/04/12 14:53:23
Adams County,3/14/21,0,11,11,2,2,4,1,2,0,0,2021/04/12 14:53:23
Adams County,3/21/21,2,19,21,7,8,5,1,0,0,0,2021/04/12 14:53:23
Adams County,3/28/21,0,10,10,5,2,3,0,0,0,0,2021/04/12 14:53:23
Adams County,4/4/21,1,16,17,7,6,4,0,0,0,0,2021/04/12 14:53:23
Asotin County,3/29/20,0,4,4,0,0,2,0,2,0,0,2021/04/12 14:53:23
Asotin County,4/5/20,0,4,4,0,0,1,2,0,1,0,2021/04/12 14:53:23
Asotin County,4/12/20,0,6,6,0,0,2,4,0,0,0,2021/04/12 14:53:23
Asotin County,4/19/20,0,4,4,1,0,0,2,0,1,0,2021/04/12 14:53:23
Asotin County,5/17/20,0,1,1,0,0,1,0,0,0,0,2021/04/12 14:53:23
Asotin County,6/7/20,0,1,1,0,0,0,0,1,0,0,2021/04/12 14:53:23
Asotin County,6/21/20,0,1,1,0,0,0,1,0,0,0,2021/04/12 14:53:23
Asotin County,6/28/20,0,1,1,0,0,0,1,0,0,0,2021/04/12 14:53:23
Asotin County,7/19/20,0,2,2,0,1,1,0,0,0,0,2021/04/12 14:53:23
Asotin County,7/26/20,0,2,2,1,1,0,0,0,0,0,2021/04/12 14:53:23
Asotin County,8/2/20,0,5,5,0,3,1,1,0,0,0,2021/04/12 14:53:23
Asotin County,8/9/20,0,14,14,1,7,2,2,2,0,0,2021/04/12 14:53:23
Asotin County,8/16/20,0,5,5,0,3,1,1,0,0,0,2021/04/12 14:53:23
Asotin County,8/23/20,0,4,4,1,0,0,2,1,0,0,2021/04/12 14:53:23
Asotin County,8/30/20,0,7,7,1,2,0,2,2,0,0,2021/04/12 14:53:23
Asotin County,9/6/20,0,15,15,2,1,1,4,6,1,0,2021/04/12 14:53:23
Asotin County,9/13/20,0,22,22,3,3,4,4,6,2,0,2021/04/12 14:53:23
Asotin County,9/20/20,0,25,25,3,3,1,7,4,7,0,2021/04/12 14:53:23
Asotin County,9/27/20,0,16,16,1,3,1,4,3,4,0,2021/04/12 14:53:23
Asotin County,10/4/20,0,22,22,2,3,4,5,4,4,0,2021/04/12 14:53:23
Asotin County,10/11/20,0,42,42,4,13,11,11,1,2,0,2021/04/12 14:53:23
Asotin County,10/18/20,0,44,44,4,14,7,11,7,1,0,2021/04/12 14:53:23
Asotin County,10/25/20,0,93,93,9,29,20,21,10,4,0,2021/04/12 14:53:23
Asotin County,11/1/20,0,136,136,13,39,25,34,20,5,0,2021/04/12 14:53:23
Asotin County,11/8/20,0,153,153,18,46,27,37,18,7,0,2021/04/12 14:53:23
Asotin County,11/15/20,0,115,115,10,25,31,22,19,8,0,2021/04/12 14:53:23
Asotin County,11/22/20,0,69,69,3,15,13,18,14,6,0,2021/04/12 14:53:23
Asotin County,11/29/20,0,93,93,9,17,17,25,17,8,0,2021/04/12 14:53:23
Asotin County,12/6/20,0,60,60,8,21,8,18,3,2,0,2021/04/12 14:53:23
Asotin County,12/13/20,0,61,61,2,16,18,11,12,2,0,2021/04/12 14:53:23
