County,WeekStartDate,Deaths,Age 0-19,Age 20-34,Age 35-49,Age 50-64,Age 65-79,Age 80+,UnknownAge,dtm_updated
Adams County,7/12/20,2,0,0,0,0,1,1,0,2021/04/12 14:53:23
Adams County,7/19/20,3,0,0,0,0,1,2,0,2021/04/12 14:53:23
Adams County,8/2/20,3,0,0,1,0,1,1,0,2021/04/12 14:53:23
Adams County,8/23/20,3,0,0,0,1,1,1,0,2021/04/12 14:53:23
Adams County,9/6/20,1,0,0,0,1,0,0,0,2021/04/12 14:53:23
Adams County,9/13/20,1,0,0,0,0,0,1,0,2021/04/12 14:53:23
Adams County,11/1/20,2,0,0,0,1,1,0,0,2021/04/12 14:53:23
Adams County,11/15/20,3,0,0,0,0,3,0,0,2021/04/12 14:53:23
Adams County,12/13/20,1,0,0,0,0,0,1,0,2021/04/12 14:53:23
Adams County,12/27/20,1,0,0,0,1,0,0,0,2021/04/12 14:53:23
Adams County,1/3/21,2,0,0,0,0,1,1,0,2021/04/12 14:53:23
Asotin County,3/29/20,1,0,0,0,0,1,0,0,2021/04/12 14:53:23
Asotin County,4/5/20,1,0,0,0,0,0,1,0,2021/04/12 14:53:23
Asotin County,9/6/20,1,0,0,0,0,0,1,0,2021/04/12 14:53:23
Asotin County,9/20/20,3,0,0,0,0,1,2,0,2021/04/12 14:53:23
Asotin County,10/4/20,1,0,0,0,0,0,1,0,2021/04/12 14:53:23
Asotin County,10/11/20,2,0,0,0,1,0,1,0,2021/04/12 14:53:23
Asotin County,10/18/20,2,0,0,0,0,2,0,0,2021/04/12 14:53:23
Asotin County,10/25/20,2,0,0,0,0,0,2,0,2021/04/12 14:53:23
Asotin County,11/1/20,1,0,0,0,0,1,0,0,2021/04/12 14:53:23
Asotin County,11/8/20,1,0,0,0,0,0,1,0,2021/04/12 14:53:23
Asotin County,11/15/20,5,0,0,0,0,3,2,0,2021/04/12 14:53:23
Asotin County,11/22/20,3,0,0,0,0,2,1,0,2021/04/12 14:53:23
Asotin County,11/29/20,4,0,0,0,2,0,2,0,2021/04/12 14:53:23
Asotin County,12/20/20,1,0,0,0,1,0,0,0,2021/04/12 14:53:23
Benton County,3/8/20,3,0,0,0,0,2,1,0,2021/04/12 14:53:23
Benton County,3/15/20,4,0,0,0,0,1,3,0,2021/04/12 14:53:23
Benton County,3/22/20,21,0,0,0,1,7,13,0,2021/04/12 14:53:23
Benton County,3/29/20,8,0,0,0,1,1,6,0,2021/04/12 14:53:23
Benton County,4/5/20,4,0,0,1,0,3,0,0,2021/04/12 14:53:23
Benton County,4/12/20,3,0,0,0,0,1,2,0,2021/04/12 14:53:23
Benton County,4/19/20,8,0,0,0,0,4,4,0,2021/04/12 14:53:23
Benton County,4/26/20,11,0,0,0,1,5,5,0,2021/04/12 14:53:23
Benton County,5/3/20,5,0,0,0,0,3,2,0,2021/04/12 14:53:23
Benton County,5/10/20,4,0,0,0,1,2,1,0,2021/04/12 14:53:23
Benton County,5/17/20,3,0,0,0,0,1,2,0,2021/04/12 14:53:23
Benton County,5/31/20,3,0,0,0,0,2,1,0,2021/04/12 14:53:23
Benton County,6/7/20,1,0,0,0,0,0,1,0,2021/04/12 14:53:23
Benton County,6/14/20,10,0,0,0,1,3,6,0,2021/04/12 14:53:23
Benton County,6/21/20,5,0,0,1,0,1,3,0,2021/04/12 14:53:23
Benton County,6/28/20,9,0,0,0,4,2,3,0,2021/04/12 14:53:23
Benton County,7/5/20,7,0,0,1,1,3,2,0,2021/04/12 14:53:23
Benton County,7/12/20,5,0,0,0,1,3,1,0,2021/04/12 14:53:23
Benton County,7/19/20,4,0,0,0,2,1,1,0,2021/04/12 14:53:23
Benton County,7/26/20,3,0,0,0,0,2,1,0,2021/04/12 14:53:23
Benton County,8/2/20,2,0,0,0,1,0,1,0,2021/04/12 14:53:23
Benton County,8/23/20,1,0,0,0,0,1,0,0,2021/04/12 14:53:23
Benton County,8/30/20,1,0,0,0,0,0,1,0,2021/04/12 14:53:23
Benton County,9/6/20,2,0,0,0,0,2,0,0,2021/04/12 14:53:23
Benton County,9/13/20,2,0,0,0,0,2,0,0,2021/04/12 14:53:23
Benton County,10/4/20,2,0,0,0,1,1,0,0,2021/04/12 14:53:23
