County,WeekStartDate,Hospitalizations,Age 0-19,Age 20-34,Age 35-49,Age 50-64,Age 65-79,Age 80+,UnknownAge,dtm_updated
Adams County,2020-03-15,1,0,0,0,1,0,0,0,2021/04/12 14:53:23
Adams County,2020-03-22,4,0,0,1,1,2,0,0,2021/04/12 14:53:23
Adams County,2020-04-05,1,0,0,1,0,0,0,0,2021/04/12 14:53:23
Adams County,2020-06-07,1,0,0,0,1,0,0,0,2021/04/12 14:53:23
Adams County,2020-06-14,1,0,0,0,1,0,0,0,2021/04/12 14:53:23
Adams County,2020-06-21,1,0,0,0,0,1,0,0,2021/04/12 14:53:23
Adams County,2020-07-05,1,0,0,0,0,0,1,0,2021/04/12 14:53:23
Adams County,2020-07-12,4,0,0,1,2,1,0,0,2021/04/12 14:53:23
Adams County,2020-07-19,4,0,1,1,0,1,1,0,2021/04/12 14:53:23
Adams County,2020-07-26,1,1,0,0,0,0,0,0,2021/04/12 14:53:23
Adams County,2020-08-02,6,0,0,2,3,1,0,0,2021/04/12 14:53:23
Adams County,2020-08-09,3,0,1,0,0,2,0,0,2021/04/12 14:53:23
Adams County,2020-08-16,3,0,0,0,1,1,1,0,2021/04/12 14:53:23
Adams County,2020-08-23,6,0,0,0,2,3,1,0,2021/04/12 14:53:23
Adams County,2020-08-30,4,0,2,0,1,1,0,0,2021/04/12 14:53:23
Adams County,2020-09-06,5,0,2,0,1,1,1,0,2021/04/12 14:53:23
Adams County,2020-09-13,3,0,0,0,1,1,1,0,2021/04/12 14:53:23
Adams County,2020-09-20,3,0,0,0,2,1,0,0,2021/04/12 14:53:23
Adams County,2020-09-27,2,0,0,0,0,2,0,0,2021/04/12 14:53:23
Adams County,2020-10-04,2,0,0,0,0,0,2,0,2021/04/12 14:53:23
Adams County,2020-10-11,4,0,0,1,0,2,1,0,2021/04/12 14:53:23
Adams County,2020-11-01,3,0,0,0,3,0,0,0,2021/04/12 14:53:23
Adams County,2020-11-08,7,0,0,1,6,0,0,0,2021/04/12 14:53:23
Adams County,2020-11-15,8,1,0,2,1,3,1,0,2021/04/12 14:53:23
Adams County,2020-11-22,1,0,0,0,1,0,0,0,2021/04/12 14:53:23
Adams County,2020-11-29,1,0,0,0,1,0,0,0,2021/04/12 14:53:23
Adams County,2020-12-06,4,1,0,0,2,1,0,0,2021/04/12 14:53:23
Adams County,2020-12-13,4,1,1,0,0,1,1,0,2021/04/12 14:53:23
Adams County,2020-12-20,1,0,0,0,0,1,0,0,2021/04/12 14:53:23
Adams County,2021-01-03,1,0,0,0,1,0,0,0,2021/04/12 14:53:23
Adams County,2021-01-10,1,0,0,0,1,0,0,0,2021/04/12 14:53:23
Adams County,2021-01-24,1,0,0,0,1,0,0,0,2021/04/12 14:53:23
